year,period,state,region,nss_round,category,sub_category,source_of_water,type_of_filtering,value,unit,note
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Other Surface Water,Chemical treatment with Bleach/Chlorine Tablet,37,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Others,Chemical treatment with Bleach/Chlorine Tablet,14,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,N.R. (Not Reported),Chemical treatment with Bleach/Chlorine Tablet,0,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,All (including not reported),Chemical treatment with Bleach/Chlorine Tablet,21,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Total Number of Households treating Drinking Water by Type of Treatment,Estimated,,Chemical treatment with Bleach/Chlorine Tablet,2131200,value in absolute number,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Total Number of Households treating Drinking Water by Type of Treatment,Sample,,Chemical treatment with Bleach/Chlorine Tablet,729,value in absolute number,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Bottled Water,Filtering with Water Filter,670,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Piped water into Dwelling,Filtering with Water Filter,103,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Piped to Yard/Dwelling,Filtering with Water Filter,72,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Public Tap/Stand,Filtering with Water Filter,63,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Tube Well/Borehole,Filtering with Water Filter,192,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Unprotected Well,Chemical treatment with Bleach/Chlorine Tablet,46,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Protected Well,Chemical treatment with Bleach/Chlorine Tablet,71,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Tube Well/Borehole,Chemical treatment with Bleach/Chlorine Tablet,15,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Others,Chemical treatment with Bleach/Chlorine Tablet,2,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Unprotected Well,Chemical treatment with Bleach/Chlorine Tablet,27,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Bottled Water,Chemical treatment with Alum,0,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Unprotected Spring,Chemical treatment with Bleach/Chlorine Tablet,0,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Rainwater Collection,Chemical treatment with Bleach/Chlorine Tablet,0,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Tank/ Pond,Chemical treatment with Bleach/Chlorine Tablet,0,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Other Surface Water,Chemical treatment with Bleach/Chlorine Tablet,186,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,N.R. (Not Reported),Chemical treatment with Bleach/Chlorine Tablet,0,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Public Tap/Stand,Chemical treatment with Bleach/Chlorine Tablet,10,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,All (including not reported),Chemical treatment with Bleach/Chlorine Tablet,13,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Total Number of Households treating Drinking Water by Type of Treatment,Estimated,,Chemical treatment with Bleach/Chlorine Tablet,576700,value in absolute number,
2012,"July, 2012 to December, 2012",All India,Urban,69,Total Number of Households treating Drinking Water by Type of Treatment,Sample,,Chemical treatment with Bleach/Chlorine Tablet,320,value in absolute number,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Bottled Water,Chemical treatment with Bleach/Chlorine Tablet,20,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Piped water into Dwelling,Chemical treatment with Bleach/Chlorine Tablet,13,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Piped to Yard/Dwelling,Chemical treatment with Bleach/Chlorine Tablet,26,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Protected Well,Filtering with Water Filter,113,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Unprotected Well,Filtering with Water Filter,53,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Protected Spring,Filtering with Water Filter,162,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Bottled Water,Filtering with Water Filter,293,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Tank/ Pond,Filtering with Water Filter,14,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Other Surface Water,Filtering with Water Filter,5,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Others,Filtering with Water Filter,113,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,All (including not reported),Filtering with Water Filter,173,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Total Number of Households treating Drinking Water by Type of Treatment,Estimated,,Filtering with Water Filter,7592300,value in absolute number,
2012,"July, 2012 to December, 2012",All India,Urban,69,Total Number of Households treating Drinking Water by Type of Treatment,Sample,,Filtering with Water Filter,4999,value in absolute number,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Piped water into Dwelling,Filtering with Water Filter,164,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Unprotected Spring,Filtering with Water Filter,232,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Piped to Yard/Dwelling,Filtering with Water Filter,124,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Public Tap/Stand,Filtering with Water Filter,77,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Tube Well/Borehole,Filtering with Water Filter,198,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Protected Well,Filtering with Water Filter,139,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Unprotected Well,Filtering with Water Filter,55,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural + Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Protected Spring,Filtering with Water Filter,171,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Rainwater Collection,Filtering with Water Filter,15,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Protected Spring,Filtering with Water Filter,336,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Unprotected Spring,Filtering with Water Filter,80,value in absolute number per thousand,
